Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes
IC0032;G;00:35:01.69;-02:08:30.1;Cet;0.62;0.39;1;16.15;;12.22;11.52;11.16;23.62;S0-a;;;;;;;;2MASX J00350169-0208294,MCG +00-02-080,PGC 002096;;;B-Mag taken from LEDA. 
IC0033;G;00:35:05.16;-02:08:15.7;Cet;0.78;0.58;123;15.29;;12.12;11.46;11.19;23.60;;;;;;;;;2MASX J00350516-0208154,MCG +00-02-082,PGC 002101;;;B-Mag taken from LEDA. 
IC0034;G;00:35:36.42;+09:07:27.3;Psc;2.81;1.05;156;13.90;;10.36;9.65;9.42;24.32;SBa;;;;;;;;2MASX J00353642+0907272,MCG +01-02-032,PGC 002134,UGC 00351;;;
IC0035;G;00:37:39.88;+10:21:28.7;Psc;0.90;0.74;18;15.00;;11.99;11.23;10.93;23.36;Sc;;;;;;;;2MASX J00373987+1021287,MCG +02-02-024,PGC 002246,UGC 00374;;;
IC0036;G;00:37:49.65;-15:26:28.6;Cet;0.31;0.30;60;15.62;;12.72;12.07;11.67;;;;;;;;;;2MASX J00374962-1526288,IRAS 00353-1542,PGC 138202;;;
IC0037;G;00:38:34.18;-15:21:31.3;Cet;0.67;0.38;158;16.23;;13.19;12.37;11.97;23.37;SBbc;;;;;;;;2MASX J00383418-1521312,MCG -03-02-029,PGC 002299;;The APM image includes a superposed star.;B-Mag taken from LEDA. 
IC0038;G;00:38:38.76;-15:25:11.4;Cet;0.77;0.57;65;15.02;;12.41;11.72;11.39;22.93;Sc;;;;;;;;2MASX J00383875-1525112,IRAS 00361-1541,MCG -03-02-030,PGC 002311;;;B-Mag taken from LEDA. 
IC0039;Dup;00:39:08.40;-14:10:22.2;Cet;;;;;;;;;;;;;;;0178;;;;;;
IC0040;G;00:39:21.40;+02:27:22.4;Cet;1.05;0.43;14;15.10;;11.79;11.08;10.76;23.27;Sb;;;;;;;;2MASX J00392139+0227225,MCG +00-02-106,PGC 002376,UGC 00413;;;
IC0041;G;00:39:40.37;-14:10:27.6;Cet;0.71;0.45;162;15.20;;13.52;12.87;12.63;23.20;;;;;;;;;2MASX J00394036-1410274,LEDA 138206;;;B-Mag taken from LEDA. 
IC0042;G;00:41:05.84;-15:25:41.1;Cet;0.76;0.53;56;15.38;;12.81;11.98;11.74;23.25;SABc;;;;;;;;2MASX J00410585-1525410,MCG -03-02-036,PGC 002463;;;B-Mag taken from LEDA. 
IC0043;G;00:42:22.06;+29:38:29.9;And;1.26;1.15;87;14.40;;11.23;10.56;10.24;23.13;SABc;;;;;;;;2MASX J00422206+2938298,IRAS 00396+2922,MCG +05-02-040,PGC 002536,SDSS J004222.06+293830.0,UGC 00448;;;
IC0044;Dup;00:42:15.88;+00:50:43.8;Cet;;;;;;;;;;;;;;;0223;;;;;;
IC0045;Other;00:42:36.34;+29:39:18.9;And;;;;;;;;;;;;;;;;;;;;Two Galactic stars.;
IC0046;G;00:42:57.97;+27:15:12.5;And;0.80;0.61;82;14.70;;12.30;11.69;11.45;22.83;E-S0;;;;;;;;2MASX J00425798+2715134,IRAS 00402+2658,PGC 002575;;;
IC0047;G;00:42:55.01;-13:44:26.6;Cet;0.41;0.24;100;16.09;;12.72;12.02;11.75;;;;;;;;;;2MASX J00425503-1344264,PGC 3093693;;;B-Mag taken from LEDA. 
IC0048;G;00:43:34.47;-08:11:11.4;Cet;1.12;0.92;172;14.11;;11.03;10.34;10.03;23.01;S0;;;;;;1577;;2MASX J00433448-0811114,IRAS 00410-0827,MCG -01-03-001,MCG -02-03-001,PGC 002603;;;
IC0049;G;00:43:56.13;+01:51:01.0;Cet;1.28;1.04;77;14.50;;12.83;12.62;12.06;23.39;SABc;;;;;;;;2MASX J00435616+0151011,MCG +00-03-003,PGC 002617,SDSS J004356.15+015101.3,UGC 00468;;;
IC0050;G;00:46:05.71;-09:30:10.8;Cet;1.02;0.87;169;14.74;;11.45;10.71;10.49;23.71;E;;;;;;;;2MASX J00460569-0930109,MCG -02-03-010,PGC 002698,SDSS J004605.70-093010.7,SDSS J004605.70-093010.8,SDSS J004605.71-093010.8;;;B-Mag taken from LEDA. 
IC0051;G;00:46:24.22;-13:26:32.5;Cet;1.70;1.11;55;13.41;;11.26;10.61;10.25;23.63;S0;;;;;;;;2MASX J00462421-1326326,IRAS 00438-1342,MCG -02-03-011,PGC 002710;;;
IC0052;G;00:48:23.78;+04:05:30.7;Psc;0.95;0.41;96;15.40;;13.18;12.74;12.54;23.41;Sb;;;;;;;;2MASX J00482376+0405307,MCG +01-03-005,PGC 002834,UGC 00494;;Contains the set of three apparent emission centers UM 069.;
IC0053;G;00:50:40.77;+10:36:01.0;Psc;0.87;0.62;94;15.50;;11.34;10.64;10.30;23.75;E-S0;;;;;;;;2MASX J00504075+1036005,MCG +02-03-005,PGC 002951,UGC 00516;;;
IC0054;**;00:50:46.85;-02:17:16.0;Cet;;;;;;;;;;;;;;;;;;;;;
IC0055;G;00:51:42.39;+07:43:06.7;Psc;0.55;0.28;175;14.50;;11.26;10.51;10.26;22.14;Sa;;;;;;;;2MASX J00514237+0743071,MCG +01-03-006,PGC 003025;;;
IC0056;G;00:51:29.94;-12:50:39.5;Cet;0.82;0.74;116;16.50;;13.14;12.60;12.60;23.23;SABc;;;;;;;;2MASX J00512994-1250396,MCG -02-03-030,PGC 003014;;;
IC0057;G;00:54:48.50;+11:50:28.3;Psc;1.03;0.96;10;15.70;;12.32;11.47;11.40;24.30;S0;;;;;;;;2MASX J00544855+1150280,MCG +02-03-010,PGC 003229,UGC 00559;;;
IC0058;G;00:55:02.44;-13:40:41.1;Cet;0.84;0.50;105;15.51;;12.03;11.25;10.97;23.74;E-S0;;;;;;;;2MASX J00550242-1340415,MCG -02-03-041,PGC 003257;;;B-Mag taken from LEDA. 
IC0059;RfN;00:57:28.61;+61:08:37.2;Cas;10.00;5.00;;;;;;;;;;;;;;;;LBN 620;;;
IC0060;G;00:56:04.23;-13:21:28.5;Cet;1.04;0.76;48;15.75;;11.61;10.88;10.52;24.14;Sc;;;;;;;;2MASX J00560423-1321292,MCG -02-03-049,PGC 003324;;;B-Mag taken from LEDA. 
IC0061;G;00:57:07.20;+07:30:25.5;Psc;1.34;1.29;175;15.30;;11.65;10.97;10.54;24.61;S0;;;;;;;;2MASX J00570722+0730255,MCG +01-03-009,PGC 003408,UGC 00589;;;
IC0062;G;00:58:43.94;+11:48:28.8;Psc;0.76;0.46;25;15.00;;11.79;11.08;10.77;22.85;Sbc;;;;;;;;2MASX J00584393+1148286,MCG +02-03-021,PGC 003507,UGC 00606;;;
IC0063;HII;00:59:28.84;+60:54:42.1;Cas;10.00;3.00;;13.33;;;;;;;;;;;;;;LBN 622;;;
IC0064;G;00:59:24.42;+27:03:32.6;Psc;1.03;0.65;148;15.60;;11.80;11.03;10.77;23.88;S0;;;;;;;;2MASX J00592444+2703319,MCG +04-03-031,PGC 003550,UGC 00613;;;
IC0065;G;01:00:55.42;+47:40:55.1;And;2.56;0.73;154;13.80;;10.50;9.78;9.51;23.45;Sbc;;;;;;;;2MASX J01005543+4740551,IRAS 00580+4724,MCG +08-03-005,PGC 003635,UGC 00625;;;
IC0066;G;01:00:32.50;+30:47:50.0;Psc;1.23;0.42;124;15.00;;11.73;11.12;10.74;23.66;Sa;;;;;;;;2MASX J01003251+3047500,MCG +05-03-033,PGC 003606,UGC 00623;;;
IC0067;NonEx;01:00:17.66;-06:54:38.7;Cet;;;;;;;;;;;;;;;;;;;;"Nominal position; does not exist.";
IC0068;NonEx;01:00:21.65;-06:56:38.8;Cet;;;;;;;;;;;;;;;;;;;;"Nominal position; does not exist.";
IC0069;G;01:01:23.66;+31:02:27.0;Psc;0.76;0.41;71;14.70;;11.89;11.02;10.86;23.04;SABb;;;;;;;;2MASX J01012367+3102269,MCG +05-03-041,PGC 003666;;;
IC0070;G;01:01:03.95;+00:03:02.7;Cet;0.42;0.24;147;16.77;;13.37;12.65;12.29;23.65;S0-a;;;;;;;;LEDA 173286;;;B-Mag taken from LEDA. 
IC0071;*;01:01:19.26;-06:46:01.8;Cet;;;;;;;;;;;;;;;;;;;;ID as IC 0071 is not certain, but there is no other reasonable candidate.;
IC0072;*;01:01:34.71;-06:46:40.6;Cet;;;;;;;;;;;;;;;;;;;;;
IC0073;G;01:04:52.95;+04:46:01.7;Psc;0.62;0.48;149;15.40;;13.30;12.43;12.50;23.23;;;;;;;;;2MASX J01045304+0446027,PGC 003842;;;
IC0074;G;01:05:55.95;+04:05:24.9;Psc;0.57;0.46;5;15.70;;12.32;11.73;11.50;23.10;E-S0;;;;;;;;2MASX J01055595+0405246,PGC 003897;;;
IC0075;G;01:07:11.61;+10:50:12.8;Psc;0.66;0.51;31;15.00;;12.38;11.67;11.24;22.80;Sb;;;;;;;;2MASX J01071159+1050125,MCG +02-03-035,PGC 003959,UGC 00684;;;
IC0076;G;01:08:11.71;-04:33:16.2;Cet;0.81;0.36;116;15.50;;11.98;11.21;10.87;23.52;S0-a;;;;;;;;2MASX J01081173-0433164,MCG -01-04-001,PGC 004035;;;
IC0077;G;01:08:43.75;-15:25:15.3;Cet;0.52;0.44;90;16.23;;12.60;11.91;11.75;23.56;S0;;;;;;;;2MASX J01084373-1525148,LEDA 073653;;;B-Mag taken from LEDA. 
IC0078;G;01:08:47.70;-15:50:42.3;Cet;1.75;0.75;126;15.24;;11.08;10.40;10.08;24.55;Sa;;;;;;;;2MASX J01084768-1550427,MCG -03-04-010,PGC 004079;;The position in 1999ApJS..120..147M is 9 arcsec north of the nucleus.;B-Mag taken from LEDA. 
IC0079;G;01:08:49.71;-15:56:54.9;Cet;1.24;0.91;158;14.93;;11.25;10.54;10.29;24.12;E-S0;;;;;;;;2MASX J01084970-1556547,MCG -03-04-011,PGC 004082;;;B-Mag taken from LEDA. 
IC0080;GPair;01:08:50.90;-15:24:27.0;Cet;1.20;;;;;;;;;;;;;;;;;;;Consists of the galaxies MCG -03-04-008 and -009.;Diameter of the group inferred by the author.
IC0080 NED01;G;01:08:50.70;-15:24:32.2;Cet;1.50;1.03;83;14.75;;;;;24.48;E;;;;;;;;MCG -03-04-009,PGC 004072;;;
IC0080 NED02;G;01:08:51.13;-15:24:22.7;Cet;1.50;1.06;50;14.60;;11.16;10.42;10.27;23.66;E;;;;;;;;2MASX J01085113-1524227,MCG -03-04-008,PGC 004071;;;
IC0081;G;01:09:22.26;-01:41:45.1;Cet;1.17;0.91;145;14.80;;11.40;10.71;10.44;23.57;E?;;;;;;;;2MASX J01092224-0141453,MCG +00-04-015,PGC 004127;;The APM image includes a neighboring star.;
IC0082;G;01:09:05.79;-16:00:01.1;Cet;0.91;0.83;93;14.85;;11.75;11.09;10.70;23.32;S0;;;;;;;;2MASX J01090578-1600011,MCG -03-04-013,PGC 004103;;;B-Mag taken from LEDA. 
IC0083;G;01:10:29.78;+01:41:21.7;Cet;0.68;0.45;114;15.20;;12.30;11.57;11.30;23.20;;;;;;;;;2MASX J01102978+0141218,MCG +00-04-021,PGC 004182;;;
IC0084;G;01:11:25.60;+01:38:24.7;Cet;0.67;0.43;12;15.00;;11.89;11.13;11.07;23.13;S0-a;;;;;;;;2MASX J01112564+0138250,MCG +00-04-029,PGC 004265;;;
IC0085;*;01:11:49.55;-00:27:08.9;Cet;;;;;;;;;;;;;;;;;;;;;
IC0086;G;01:13:28.52;-16:14:30.0;Cet;0.72;0.34;142;15.34;;12.33;11.55;11.26;23.29;S0-a;;;;;;;;2MASX J01132852-1614301,IRAS 01110-1630,LEDA 165316;;;
IC0087;G;01:14:15.79;+00:45:55.2;Cet;0.69;0.63;66;15.40;;12.79;12.26;11.76;23.21;Sbc;;;;;;;;2MASX J01141582+0045556,MCG +00-04-048,PGC 004454,SDSS J011415.78+004555.1,SDSS J011415.79+004555.1,SDSS J011415.79+004555.2,SDSS J011415.80+004555.2;;;
IC0088;G;01:14:31.30;+00:47:30.3;Cet;0.53;0.44;129;18.81;18.07;13.16;12.62;12.09;23.15;Sbc;;;;;;;;2MASX J01143129+0047306,LEDA 1175571,SDSS J011431.30+004730.2,SDSS J011431.30+004730.3,SDSS J011431.32+004730.2;;;
IC0089;Dup;01:16:03.61;+04:17:38.8;Psc;;;;;;;;;;;;;;;0446;;;;;;
IC0090;G;01:16:30.35;-07:58:37.7;Cet;1.25;1.12;146;14.52;;11.02;10.36;10.12;24.14;E;;;;;;;;2MASX J01163034-0758369,MCG -01-04-023,PGC 004606;;;
IC0091;G;01:18:39.43;+02:33:13.2;Cet;0.71;0.26;64;16.48;;12.91;12.16;11.82;24.30;;;;;;;;;2MASX J01183943+0233132,LEDA 1230543;;;B-Mag taken from LEDA. 
IC0092;Dup;01:19:48.50;+32:46:04.0;Psc;;;;;;;;;;;;;;;0468;;;;;;
IC0093;G;01:19:02.34;-17:03:37.4;Cet;1.21;0.56;171;14.30;13.57;11.79;11.08;10.85;22.91;Sb;;;;;;1671;;2MASX J01190234-1703374,IRAS 01165-1719,MCG -03-04-043,PGC 004724;;;
IC0094;*;01:20:05.49;+32:43:02.4;Psc;;;;;;;;;;;;;;;;;;;;;
IC0095;G;01:19:17.88;-12:34:26.9;Cet;0.61;0.50;54;15.95;;12.64;11.76;11.54;23.72;;;;;;;;;2MASX J01191787-1234264,LEDA 950887;;;
IC0096;G;01:20:33.22;+29:37:02.1;Psc;0.78;0.30;44;14.70;;12.93;12.56;12.01;22.48;Sbc;;;;;;;;MCG +05-04-023,PGC 004840;;;
IC0097;Dup;01:20:02.00;+14:51:39.8;Psc;;;;;;;;;;;;;;;0475;;;;;;
IC0098;G;01:20:54.88;-12:36:17.0;Cet;0.68;0.61;55;16.30;;12.14;11.39;11.14;23.87;;;;;;;;;2MASX J01205488-1236162,MCG -02-04-027,PGC 004869;;;B-Mag taken from LEDA. 
IC0099;G;01:22:27.36;-12:57:09.2;Cet;0.58;0.52;54;15.82;;12.64;12.16;11.59;23.10;Sc;;;;;;;;2MASX J01222735-1257091,MCG -02-04-034,PGC 004997;;;B-Mag taken from LEDA. 
IC0100;G;01:22:53.96;-04:38:34.9;Cet;1.04;0.77;88;14.48;;11.26;10.56;10.24;23.36;E-S0;;;;;;;;2MASX J01225395-0438353,MCG -01-04-030,PGC 005029;;;B-Mag taken from LEDA. 
IC0101;G;01:24:08.55;+09:55:49.9;Psc;1.24;0.59;124;15.10;;12.48;11.78;11.88;23.76;Sb;;;;;;;;2MASX J01240854+0955500,MCG +02-04-036,PGC 005147,UGC 00949;;;
IC0102;G;01:24:26.33;+09:53:11.6;Psc;0.75;0.37;111;15.60;;12.65;11.95;11.68;23.59;S0-a;;;;;;;;2MASX J01242632+0953114,PGC 005172,UGC 00954;;;
IC0103;G;01:24:36.44;+02:02:39.3;Cet;0.95;0.67;128;15.30;;11.63;10.94;10.60;23.94;E-S0;;;;;;;;2MASX J01243643+0202392,MCG +00-04-117,PGC 005192,UGC 00963;;;
IC0104;**;01:24:33.60;-01:27:24.2;Cet;;;;8.79;;;;;;;;;;;;;;;;;
IC0105;G;01:24:46.25;+02:04:31.0;Cet;0.58;0.29;47;11.50;;12.66;11.90;11.63;23.28;S0-a;;;;;;;;2MASX J01244623+0204312,PGC 005206;;;
IC0106;Dup;01:24:41.65;-01:35:13.5;Cet;;;;;;;;;;;;;;;0530;;;;;;
IC0107;G;01:25:24.66;+14:51:52.6;Psc;1.62;1.31;6;13.78;;10.79;10.05;9.81;24.13;E;;;;;;1700;;2MASX J01252468+1451528,MCG +02-04-041,PGC 005271,SDSS J012524.65+145152.6,UGC 00986;;;
IC0108;G;01:24:38.96;-12:38:08.1;Cet;1.30;0.36;4;15.48;;12.27;11.52;11.14;23.66;Sc;;;;;;;;2MASX J01243897-1238081,MCG -02-04-041,PGC 005205;;;B-Mag taken from LEDA. 
IC0109;G;01:25:13.09;+02:03:58.4;Cet;0.76;0.57;70;14.90;;11.91;11.25;10.88;23.06;S0;;;;;;;;2MASX J01251301+0204010,MCG +00-04-128,PGC 005251,UGC 00980;;;
IC0110;Other;01:25:46.60;+33:30:52.9;Psc;;;;;;;;;;;;;;;;;;;;Nominal position. IC 110 may be the stars at 01 23 00, +33 15.7 (B1950).;
IC0111;Other;01:26:00.13;+33:29:49.6;Psc;;;;;;;;;;;;;;;;;;;;Nominal position. IC 111 may be the stars at 01 23 10, +33 14.6 (B1950).;
IC0112;G;01:26:03.02;+11:26:34.7;Psc;0.72;0.37;127;14.20;;12.22;11.56;11.29;21.61;Sd;;;;;;;;2MASX J01260303+1126347,IRAS 01234+1110,MCG +02-04-047,PGC 005328,SDSS J012602.99+112634.6,UGC 01008;;;
IC0113;G;01:26:25.50;+19:11:31.1;Psc;0.35;0.26;160;;;13.06;12.20;11.97;;;;;;;;;;2MASX J01262551+1911308;;;
IC0114;G;01:26:22.58;+09:54:35.8;Psc;1.40;0.56;154;15.70;;11.82;11.11;10.96;24.91;S0;;;;;;;;2MASX J01262257+0954358,MCG +02-04-048,PGC 005343,UGC 01015;;;
IC0115;G;01:26:54.44;+19:12:52.9;Psc;0.76;0.76;80;15.20;;11.69;11.01;10.84;23.46;E;;;;;;;;2MASX J01265442+1912517,MCG +03-04-039,PGC 005395;;;
IC0116;G;01:26:50.57;-04:58:56.2;Cet;0.87;0.56;125;14.50;;12.67;12.03;11.90;22.72;Sbc;;;;;;;;2MASX J01265058-0458560,MCG -01-04-049,PGC 005389;;;
IC0117;*;01:27:25.41;-01:51:36.7;Cet;;;;11.22;10.54;9.35;9.02;8.91;;;;;;;;;;TYC 4682-651-1;;;
IC0118;G;01:27:36.04;-04:59:50.9;Cet;0.72;0.55;31;15.81;;12.19;11.49;11.23;23.90;E;;;;;;;;2MASX J01273603-0459505,MCG -01-04-053,PGC 005446;;;B-Mag taken from LEDA. 
IC0119;G;01:27:55.02;-02:02:25.7;Cet;1.19;0.58;77;15.00;;11.60;10.93;10.70;24.04;S0-a;;;;;;;;2MASX J01275502-0202255,MCG +00-04-157,PGC 005465,UGC 01047;;;
IC0120;G;01:28:12.96;-01:54:55.9;Cet;0.92;0.33;138;15.20;;12.03;11.35;11.05;23.73;S0;;;;;;;;2MASX J01281297-0154555,PGC 005484;;;
IC0121;G;01:28:21.78;+02:30:46.9;Cet;1.00;0.62;108;14.30;;11.57;11.00;10.58;22.64;Sbc;;;;;;;;2MASX J01282178+0230469,IRAS 01257+0215,MCG +00-04-159,PGC 005492,SDSS J012821.76+023046.8,UGC 01053;;;
IC0122;G;01:28:13.20;-14:50:20.0;Cet;0.65;0.32;14;15.96;;12.81;12.11;11.82;23.64;S0-a;;;;;;;;2MASX J01281322-1450197,LEDA 919275;;;B-Mag taken from LEDA. 
IC0123;G;01:28:51.46;+02:26:47.2;Cet;0.67;0.47;44;16.09;15.21;12.11;11.45;11.14;23.24;E;;;;;;;;2MASX J01285148+0226476,MCG +00-04-161,PGC 005524;;;
IC0124;*;01:29:09.08;-01:56:13.3;Cet;;;;14.40;;;;;;;;;;;;;;;;;
IC0125;G;01:29:18.35;-13:16:47.4;Cet;0.61;0.59;53;16.18;;12.37;11.58;11.49;23.50;;;;;;;;;2MASX J01291837-1316471,MCG -02-04-060,PGC 005560;;;B-Mag taken from LEDA. 
IC0126;G;01:29:47.86;-01:59:01.5;Cet;0.89;0.81;30;15.40;;11.89;11.25;10.92;24.03;;;;;;;;;2MASX J01294785-0159015,PGC 005577,SDSS J012947.86-015901.4,UGC 01071;;;
IC0127;G;01:29:47.61;-06:58:48.2;Cet;1.69;0.45;110;9.90;9.20;10.94;10.00;9.79;23.47;Sb;;;;;;;;2MASX J01294759-0658482,MCG -01-04-057,PGC 005581;;;
IC0128;G;01:31:23.87;-12:37:27.8;Cet;0.82;0.61;165;15.35;;13.31;12.73;12.82;23.31;SBc;;;;;;;;2MASX J01312388-1237277,MCG -02-04-063,PGC 005659;;;B-Mag taken from LEDA. 
IC0129;G;01:31:31.26;-12:39:15.8;Cet;1.23;0.60;63;14.70;;11.59;10.95;10.64;24.28;S0-a;;;;;;;;2MASX J01313126-1239147,MCG -02-05-001,PGC 005675;;;
IC0130;G;01:31:28.74;-15:35:29.8;Cet;0.75;0.64;27;15.49;;12.26;11.61;11.31;23.52;S0;;;;;;;;2MASX J01312872-1535297,MCG -03-05-001,PGC 005671;;;B-Mag taken from LEDA. 
IC0131;HII;01:33:14.58;+30:45:11.7;Tri;0.30;;;12.52;;;;;;;;;;;;;;IRAS 01303+3029;;HII region in Messier 033. The IC object includes the surrounding star cloud.;Dimensions taken from LEDA
